Prevalence,Test Ratio,Parameters
0.01,0.002425894238,"3,3,3,3,3,3,3,3"
0.02,0.004480417263645618,"3,3,3,3,3,3,3"
0.03,0.0063783323359077795,"3,3,3,3,3,3,3"
0.04,0.008214328271258151,"3,3,3,3,3,3,3"
0.05,0.009996529629732897,"3,3,3,3,3,3,3"
0.06,0.01164357094423783,"3,3,3,3,3,3"
0.07,0.013264631861375713,"3,3,3,3,3,3"
0.08,0.014863091069862626,"3,3,3,3,3,3"
0.09,0.016440036218570413,"3,3,3,3,3,3"
0.10,0.017996486762,"3,3,3,3,3,3"
0.11,0.01953339856358866,"3,3,3,3,3,3"
0.12,0.021051668180966623,"3,3,3,3,3,3"
0.13,0.022552136855600223,"3,3,3,3,3,3"
0.14,0.02403559422705375,"3,3,3,3,3,3"
0.15,0.02550278179120116,"3,3,3,3,3,3"
0.16,0.026863293708157574,"3,3,3,3,3"
0.17,0.02820980909089146,"3,3,3,3,3"
0.18,0.029548363642148277,"3,3,3,3,3"
0.19,0.030879090869703883,"3,3,3,3,3"
0.20,0.032202121418,"3,3,3,3,3"
0.30,0.045035930636,"3,3,3,3,3"
0.40,0.057224858744,"3,3,3,3,3"
0.41,0.05841200298109389,"3,3,3,3,3"
0.42,0.05959371815375222,"3,3,3,3,3"
0.43,0.06077008439919041,"3,3,3,3,3"
0.44,0.061941180207965754,"3,3,3,3,3"
0.45,0.06310708246076305,"3,3,3,3,3"
0.46,0.06417925995993201,"3,3,3,3"
0.47,0.06523788577624307,"3,3,3,3"
0.48,0.06629387215344844,"3,3,3,3"
0.49,0.0673472340785744,"3,3,3,3"
0.50,0.068397986432,"3,3,3,3"
0.60,0.078765182787,"3,3,3,3"
0.70,0.088887030664,"3,3,3,3"
0.80,0.098776774617,"3,3,3,3"
0.90,0.10844675652,"3,3,3,3"
1.00,0.11790848079,"3,3,3,3"
1.10,0.12717267493,"3,3,3,3"
1.20,0.13624934554,"3,3,3,3"
1.30,0.14514783033,"3,3,3,3"
